#ZVView-data-copy:  16-Jul-2018 14:45:38
#=======================================
#
#name:   ENDF/B-VII.1: TH-232(N,G)TH-233
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  74445
#data...
#            X            Y
#          MeV        barns
         1e-11      373.422
   1.10304e-11      355.553
   1.21669e-11       338.54
   1.34206e-11       322.34
   1.48034e-11      306.916
   1.63287e-11      292.229
   1.80111e-11      278.246
   1.98669e-11      264.931
   2.19139e-11      252.254
   2.41719e-11      240.183
   2.66625e-11       228.69
   2.94097e-11      217.746
     3.244e-11      207.327
   3.57825e-11      197.406
   3.94694e-11      187.959
   4.35362e-11      178.965
   4.80221e-11      170.401
   5.29701e-11      162.247
    5.8428e-11      154.483
   6.44483e-11       147.09
   7.10888e-11      140.051
   7.84136e-11      133.349
   8.64931e-11      126.968
   9.54051e-11      120.892
   1.05235e-10      115.106
   1.16078e-10      109.598
   1.28039e-10      104.353
   1.41231e-10       99.359
   1.55784e-10      94.6039
   1.71835e-10      90.0764
    1.8954e-10      85.7654
    2.0907e-10      81.6607
   2.30612e-10      77.7524
   2.54374e-10       74.031
   2.80584e-10      70.4877
   3.09494e-10      67.1139
   3.41383e-10      63.9014
   3.76558e-10      60.8427
   4.15358e-10      57.9302
   4.58155e-10      55.1571
   5.05362e-10      52.5166
   5.57433e-10      50.0024
   6.14869e-10      47.6084
   6.78223e-10       45.329
   7.48105e-10      43.1585
   8.25188e-10      41.0918
   9.10213e-10       39.124
      1.004e-9      37.2502
    1.10745e-9       35.466
    1.22155e-9      33.7671
    1.34742e-9      32.1494
    1.48625e-9       30.609
    1.63939e-9      29.1422
    1.80831e-9      27.7455
    1.99463e-9      26.4155
    2.20016e-9      25.1491
    2.42685e-9      23.9432
    2.67691e-9       22.795
    2.95273e-9      21.7017
    3.25697e-9      20.6608
    3.59256e-9      19.6698
    3.96272e-9      18.7262
    4.37103e-9      17.8277
    4.82141e-9      16.9717
    5.31819e-9      16.1562
    5.86616e-9      15.3792
    6.47059e-9      14.6392
     7.1373e-9      13.9347
    7.87271e-9      13.2638
    8.68389e-9      12.6247
    9.57865e-9      12.0155
    1.05656e-8      11.4348
    1.16543e-8      10.8814
    1.28551e-8      10.3545
    1.41796e-8      9.85301
    1.56406e-8      9.37576
    1.72522e-8      8.92096
    1.90298e-8      8.48692
    2.09906e-8      8.07289
    2.31534e-8      7.67846
    2.52419e-8       7.3467
       2.53e-8      7.33806
    2.79068e-8      6.97834
    3.07823e-8      6.63518
     3.3954e-8      6.30797
    3.74525e-8       5.9962
    4.13115e-8      5.69968
    4.55681e-8      5.41685
    5.02633e-8      5.14611
    5.54423e-8      4.88768
    6.11549e-8      4.64115
    6.74561e-8      4.40593
    7.44066e-8      4.18148
    8.20732e-8      3.96792
    9.05297e-8      3.76401
    9.98577e-8      3.56829
    1.10147e-7      3.38133
    1.21496e-7      3.20272
    1.34014e-7      3.03203
    1.47823e-7      2.86887
     1.6192e-7      2.72377
    1.77353e-7       2.5855
    1.95626e-7      2.44188
    2.14282e-7      2.31385
    2.34706e-7      2.19103
    2.57088e-7      2.07307
    2.81591e-7      1.95991
    3.08445e-7       1.8512
    3.37843e-7      1.74691
    3.67469e-7      1.65517
    3.99693e-7      1.56584
    4.34743e-7      1.47987
    4.72866e-7      1.39712
    5.14332e-7      1.31749
    5.59435e-7      1.24103
    6.08493e-7      1.16751
    6.61852e-7      1.09693
    7.14884e-7       1.0347
    7.72126e-7     0.974882
    8.33993e-7     0.917583
    9.00773e-7     0.862314
    9.72949e-7     0.809253
    1.05086e-6     0.758537
    1.13506e-6     0.709942
    1.21741e-6     0.667676
    1.30575e-6     0.627218
    1.40049e-6     0.588513
    1.51264e-6     0.548162
    1.62239e-6     0.513024
