
 Critical Spectra Calculated with the B1 Method
 Input buckling of  0.00000E+00 gives a corresponding k-eff of  1.00234E+00
 Equivalent core height is infinite.

  Group   Upper      Critical   Inf.Med.   Critical   Inf.Med.  
   No    Energy(eV)   Flux       Flux      Adj.Flux   Adj.Flux  

     1  2.0000E+07  4.068E-04  4.068E-04  7.028E-03  7.028E-03
     2  8.1873E+06  4.086E-03  4.086E-03  2.271E-02  2.271E-02
     3  6.4340E+06  1.047E-02  1.047E-02  1.785E-02  1.785E-02
     4  4.8000E+06  2.638E-02  2.638E-02  1.179E-02  1.179E-02
     5  3.0000E+06  3.990E-02  3.990E-02  2.907E-02  2.907E-02
     6  2.4790E+06  4.812E-02  4.812E-02  1.064E-01  1.064E-01
     7  2.3540E+06  5.397E-02  5.397E-02  2.271E-02  2.271E-02
     8  1.8500E+06  6.261E-02  6.261E-02  1.936E-02  1.936E-02
     9  1.4000E+06  7.348E-02  7.348E-02  1.202E-02  1.202E-02
    10  9.0000E+05  9.240E-02  9.240E-02  6.453E-03  6.453E-03
    11  4.0000E+05  6.657E-02  6.657E-02  3.705E-03  3.705E-03
    12  1.0000E+05  1.406E-01  1.406E-01  3.629E-03  3.629E-03
    13  2.5000E+04  2.082E-01  2.082E-01  1.292E-02  1.292E-02
    14  1.7000E+04  1.040E-01  1.040E-01  2.896E-03  2.896E-03
    15  3.0000E+03  4.594E-02  4.594E-02  3.115E-03  3.115E-03
    16  5.5000E+02  1.523E-02  1.523E-02  3.313E-03  3.313E-03
    17  1.0000E+02  4.693E-03  4.693E-03  5.372E-03  5.372E-03
    18  3.0000E+01  1.027E-03  1.027E-03  5.200E-03  5.200E-03
    19  1.0000E+01  6.901E-04  6.901E-04  2.738E-02  2.738E-02
    20  8.1000E+00  4.852E-04  4.852E-04  1.832E-02  1.832E-02
    21  6.0000E+00  3.001E-04  3.001E-04  2.241E-02  2.241E-02
    22  4.7500E+00  1.400E-04  1.400E-04  9.787E-03  9.787E-03
    23  3.0000E+00  8.587E-05  8.587E-05  1.009E-02  1.009E-02
    24  1.7700E+00  3.411E-05  3.411E-05  2.863E-02  2.863E-02
    25  1.5000E+00  2.686E-05  2.686E-05  2.116E-02  2.116E-02
    26  1.2500E+00  2.224E-05  2.224E-05  4.039E-02  4.039E-02
    27  1.1500E+00  2.026E-05  2.026E-05  7.177E-02  7.177E-02
    28  1.1000E+00  1.892E-05  1.892E-05  6.672E-02  6.672E-02
    29  1.0500E+00  1.755E-05  1.755E-05  6.230E-02  6.230E-02
    30  1.0000E+00  1.187E-05  1.187E-05  6.273E-03  6.273E-03
    31  6.2500E-01  5.306E-06  5.306E-06  6.461E-03  6.461E-03
    32  4.0000E-01  3.170E-06  3.170E-06  4.450E-02  4.450E-02
    33  3.7500E-01  2.756E-06  2.756E-06  4.162E-02  4.162E-02
    34  3.5000E-01  2.365E-06  2.365E-06  3.878E-02  3.878E-02
    35  3.2500E-01  1.825E-06  1.825E-06  1.722E-02  1.722E-02
    36  2.7500E-01  1.357E-06  1.357E-06  3.022E-02  3.022E-02
    37  2.5000E-01  1.081E-06  1.081E-06  2.734E-02  2.734E-02
    38  2.2500E-01  8.369E-07  8.369E-07  2.445E-02  2.445E-02
    39  2.0000E-01  5.311E-07  5.311E-07  9.978E-03  9.978E-03
    40  1.5000E-01  2.426E-07  2.426E-07  7.071E-03  7.071E-03
    41  1.0000E-01  1.011E-07  1.011E-07  8.049E-03  8.049E-03
    42  7.0000E-02  4.436E-08  4.436E-08  8.534E-03  8.534E-03
    43  5.0000E-02  2.277E-08  2.277E-08  1.285E-02  1.285E-02
    44  4.0000E-02  1.273E-08  1.273E-08  9.921E-03  9.921E-03
    45  3.0000E-02  7.419E-09  7.419E-09  1.664E-02  1.664E-02
    46  2.5300E-02  2.644E-09  2.644E-09  2.997E-03  2.997E-03
    47  1.0000E-02  6.335E-10  6.335E-10  9.298E-03  9.298E-03
    48  7.5000E-03  2.034E-10  2.034E-10  2.840E-03  2.840E-03
    49  3.0000E-03  5.819E-12  5.819E-12  4.319E-04  4.319E-04

 NOTE: Flux values above are per unit-lethargy.



